中国	北京市	市辖区
中国	北京市	市辖区	东城区
中国	北京市	市辖区	西城区
中国	北京市	市辖区	朝阳区
中国	北京市	市辖区	丰台区
中国	北京市	市辖区	石景山区
中国	北京市	市辖区	海淀区
中国	北京市	市辖区	门头沟区
中国	北京市	市辖区	房山区
中国	北京市	市辖区	通州区
中国	北京市	市辖区	顺义区
中国	北京市	市辖区	昌平区
中国	北京市	市辖区	大兴区
中国	北京市	市辖区	怀柔区
中国	北京市	市辖区	平谷区
中国	北京市	市辖区	密云区
中国	北京市	市辖区	延庆区
中国	天津市	市辖区
中国	天津市	市辖区	和平区
中国	天津市	市辖区	河东区
中国	天津市	市辖区	河西区
中国	天津市	市辖区	南开区
中国	天津市	市辖区	河北区
中国	天津市	市辖区	红桥区
中国	天津市	市辖区	东丽区
中国	天津市	市辖区	西青区
中国	天津市	市辖区	津南区
中国	天津市	市辖区	北辰区
中国	天津市	市辖区	武清区
中国	天津市	市辖区	宝坻区
中国	天津市	市辖区	滨海新区
中国	天津市	市辖区	宁河区
中国	天津市	市辖区	静海区
中国	天津市	市辖区	蓟州区
中国	河北省	石家庄市
中国	河北省	石家庄市	长安区
中国	河北省	石家庄市	桥西区
中国	河北省	石家庄市	新华区
中国	河北省	石家庄市	井陉矿区
中国	河北省	石家庄市	裕华区
中国	河北省	石家庄市	藁城区
中国	河北省	石家庄市	鹿泉区
中国	河北省	石家庄市	栾城区
中国	河北省	石家庄市	井陉县
中国	河北省	石家庄市	正定县
中国	河北省	石家庄市	行唐县
中国	河北省	石家庄市	灵寿县
中国	河北省	石家庄市	高邑县
中国	河北省	石家庄市	深泽县
中国	河北省	石家庄市	赞皇县
中国	河北省	石家庄市	无极县
中国	河北省	石家庄市	平山县
中国	河北省	石家庄市	元氏县
中国	河北省	石家庄市	赵县
中国	河北省	石家庄市	石家庄高新技术产业开发区
中国	河北省	石家庄市	石家庄循环化工园区
中国	河北省	石家庄市	辛集市
中国	河北省	石家庄市	晋州市
中国	河北省	石家庄市	新乐市
中国	河北省	唐山市
中国	河北省	唐山市	路南区
中国	河北省	唐山市	路北区
中国	河北省	唐山市	古冶区
中国	河北省	唐山市	开平区
中国	河北省	唐山市	丰南区
中国	河北省	唐山市	丰润区
中国	河北省	唐山市	曹妃甸区
中国	河北省	唐山市	滦南县
中国	河北省	唐山市	乐亭县
中国	河北省	唐山市	迁西县
中国	河北省	唐山市	玉田县
中国	河北省	唐山市	河北唐山芦台经济开发区
中国	河北省	唐山市	唐山市汉沽管理区
中国	河北省	唐山市	唐山高新技术产业开发区
中国	河北省	唐山市	河北唐山海港经济开发区
中国	河北省	唐山市	遵化市
中国	河北省	唐山市	迁安市
中国	河北省	唐山市	滦州市
中国	河北省	秦皇岛市
中国	河北省	秦皇岛市	海港区
中国	河北省	秦皇岛市	山海关区
中国	河北省	秦皇岛市	北戴河区
中国	河北省	秦皇岛市	抚宁区
中国	河北省	秦皇岛市	青龙满族自治县
中国	河北省	秦皇岛市	昌黎县
中国	河北省	秦皇岛市	卢龙县
中国	河北省	秦皇岛市	秦皇岛市经济技术开发区
中国	河北省	秦皇岛市	北戴河新区
中国	河北省	邯郸市
中国	河北省	邯郸市	邯山区
中国	河北省	邯郸市	丛台区
中国	河北省	邯郸市	复兴区
中国	河北省	邯郸市	峰峰矿区
中国	河北省	邯郸市	肥乡区
中国	河北省	邯郸市	永年区
中国	河北省	邯郸市	临漳县
中国	河北省	邯郸市	成安县
中国	河北省	邯郸市	大名县
中国	河北省	邯郸市	涉县
中国	河北省	邯郸市	磁县
